Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
decay | Epoch 1 | Train Loss: 0.5239 | Train Acc: 86.9767% | Test Loss: 0.3005 | Test Acc: 91.7700% | LR: 0.010000 | Time: 6.53s
decay | Epoch 2 | Train Loss: 0.2783 | Train Acc: 92.0650% | Test Loss: 0.2449 | Test Acc: 93.1900% | LR: 0.010000 | Time: 6.60s
decay | Epoch 3 | Train Loss: 0.2294 | Train Acc: 93.5500% | Test Loss: 0.2099 | Test Acc: 94.2400% | LR: 0.010000 | Time: 6.56s
decay | Epoch 4 | Train Loss: 0.1964 | Train Acc: 94.5067% | Test Loss: 0.1874 | Test Acc: 94.6700% | LR: 0.010000 | Time: 6.55s
decay | Epoch 5 | Train Loss: 0.1717 | Train Acc: 95.2250% | Test Loss: 0.1638 | Test Acc: 95.4200% | LR: 0.010000 | Time: 6.57s
decay | Epoch 6 | Train Loss: 0.1526 | Train Acc: 95.7367% | Test Loss: 0.1488 | Test Acc: 95.6400% | LR: 0.010000 | Time: 6.62s
decay | Epoch 7 | Train Loss: 0.1372 | Train Acc: 96.2350% | Test Loss: 0.1379 | Test Acc: 96.1000% | LR: 0.010000 | Time: 6.61s
decay | Epoch 8 | Train Loss: 0.1248 | Train Acc: 96.5500% | Test Loss: 0.1273 | Test Acc: 96.4100% | LR: 0.010000 | Time: 6.64s
decay | Epoch 9 | Train Loss: 0.1143 | Train Acc: 96.8650% | Test Loss: 0.1193 | Test Acc: 96.6000% | LR: 0.010000 | Time: 6.65s
decay | Epoch 10 | Train Loss: 0.1055 | Train Acc: 97.0967% | Test Loss: 0.1134 | Test Acc: 96.8300% | LR: 0.010000 | Time: 6.64s
decay | Epoch 11 | Train Loss: 0.0979 | Train Acc: 97.3517% | Test Loss: 0.1101 | Test Acc: 96.9000% | LR: 0.005000 | Time: 6.65s
decay | Epoch 12 | Train Loss: 0.0945 | Train Acc: 97.4600% | Test Loss: 0.1063 | Test Acc: 96.8700% | LR: 0.005000 | Time: 6.66s
decay | Epoch 13 | Train Loss: 0.0911 | Train Acc: 97.5400% | Test Loss: 0.1040 | Test Acc: 97.0000% | LR: 0.005000 | Time: 6.63s
decay | Epoch 14 | Train Loss: 0.0879 | Train Acc: 97.6400% | Test Loss: 0.1020 | Test Acc: 97.0600% | LR: 0.005000 | Time: 6.64s
decay | Epoch 15 | Train Loss: 0.0850 | Train Acc: 97.7317% | Test Loss: 0.1000 | Test Acc: 97.1200% | LR: 0.005000 | Time: 6.66s
decay | Epoch 16 | Train Loss: 0.0822 | Train Acc: 97.8250% | Test Loss: 0.0979 | Test Acc: 97.1600% | LR: 0.005000 | Time: 6.64s
decay | Epoch 17 | Train Loss: 0.0798 | Train Acc: 97.8800% | Test Loss: 0.0963 | Test Acc: 97.2400% | LR: 0.005000 | Time: 6.58s
